tweet_id,tweet_url,score,underperform,is_reply,has_media,media_type,tweet_age_hours,retired,refresh_count,cycle_retweeted,last_retweeted_at,funnel_stage,funnel_stage_source,impressions,likes,retweets,replies,quotes,bookmarks,profile_visits,link_clicks,of_clicks,engagement_rate,like_rate,bookmark_rate,profile_visit_rate,link_click_rate,of_click_rate,resurface_baseline_score,resurface_baseline_engagement_rate,resurface_baseline_profile_visit_rate,revival_score,revival_lift,strong_reviver,pair_partner_id,pair_memory_score,pair_success_count,archetype,archetype_score,entropy_score,archive_signal,top_terms
2010428008491102415,https://x.com/i/web/status/2010428008491102415,9.2710,yes,no,yes,photo,2056.88,no,0,no,,1,,14670,301,18,4,0,0,52,0,0,0.023517,0.020518,0.000000,0.003545,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2009364054197047798,https://x.com/i/web/status/2009364054197047798,6.8990,yes,no,yes,photo,2127.34,no,1,yes,2026-04-12T02:25:58,1,,15521,203,16,2,0,0,45,0,0,0.015398,0.013079,0.000000,0.002899,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2009303186474192977,https://x.com/i/web/status/2009303186474192977,4.6031,yes,no,yes,photo,2131.38,no,0,no,,1,,12813,184,13,0,0,0,27,0,0,0.016390,0.014360,0.000000,0.002107,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2009281230898860522,https://x.com/i/web/status/2009281230898860522,11.9851,yes,no,yes,photo,2132.83,no,0,no,,1,,14480,300,22,6,0,0,71,0,0,0.024586,0.020718,0.000000,0.004903,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2009266456307847273,https://x.com/i/web/status/2009266456307847273,12.6547,yes,no,yes,photo,2133.81,no,0,no,,1,,12647,322,22,8,0,0,63,0,0,0.030205,0.025461,0.000000,0.004981,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2008219507421331549,https://x.com/i/web/status/2008219507421331549,9.4284,yes,no,yes,photo,2159.10,no,0,no,,1,,14648,278,23,5,0,0,51,0,0,0.022802,0.018979,0.000000,0.003482,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2007528153032557029,https://x.com/i/web/status/2007528153032557029,0.0000,yes,no,yes,photo,2185.04,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2007500423104696505,https://x.com/i/web/status/2007500423104696505,0.0000,yes,no,yes,photo,2186.88,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2006860205573943549,https://x.com/i/web/status/2006860205573943549,0.0000,yes,no,yes,video,2229.28,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2006797539522261423,https://x.com/i/web/status/2006797539522261423,0.0000,yes,no,yes,photo,2233.43,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2004311671649849788,https://x.com/i/web/status/2004311671649849788,0.0000,yes,no,yes,photo,2398.06,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
2002765116216095044,https://x.com/i/web/status/2002765116216095044,0.0000,yes,no,yes,photo,2500.48,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
1998859890832584721,https://x.com/i/web/status/1998859890832584721,0.0000,yes,no,yes,photo,2759.12,no,0,no,,1,,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,no,,0,0,,0,0,0,
